[27/Oct/2023 21:07:15] INFO [django.utils.autoreload:668] Watching for file changes with StatReloader
[27/Oct/2023 21:07:15] DEBUG [django.utils.autoreload:330] Waiting for apps ready_event.
[27/Oct/2023 21:07:15] DEBUG [django.utils.autoreload:342] Apps ready_event triggered. Sending autoreload_started signal.
[27/Oct/2023 21:07:15] DEBUG [django.utils.autoreload:296] Watching dir C:\Users\Monder\Desktop\Django-projects\sfcproject\sfcproject\main\templates with glob **/*.
[27/Oct/2023 21:07:15] DEBUG [django.utils.autoreload:296] Watching dir C:\Users\Monder\Desktop\Django-projects\sfcproject\sfcproject\templates with glob **/*.
[27/Oct/2023 21:07:15] DEBUG [django.utils.autoreload:296] Watching dir C:\Users\Monder\Desktop\Django-projects\sfcproject\sfcproject\locale with glob **/*.mo.
[27/Oct/2023 21:07:15] DEBUG [django.utils.autoreload:296] Watching dir C:\Users\Monder\Desktop\Django-projects\sfcproject\sfcproject\main\locale with glob **/*.mo.
[27/Oct/2023 21:07:15] DEBUG [django.utils.autoreload:296] Watching dir C:\Users\Monder\Desktop\Django-projects\sfcproject\sfcproject\sfcproject\locale with glob **/*.mo.
[27/Oct/2023 21:07:15] DEBUG [django.utils.autoreload:394] File C:\Python311\Lib\site-packages\django\core\files\storage\handler.py first seen with mtime 1695833624.567545
[27/Oct/2023 21:07:15] DEBUG [django.utils.autoreload:394] File C:\Python311\Lib\site-packages\django\forms\formsets.py first seen with mtime 1695833624.6622899
[27/Oct/2023 21:07:15] DEBUG [django.utils.autoreload:394] File C:\Python311\Lib\site-packages\django\db\models\fields\related_descriptors.py first seen with mtime 1695833624.649529
[27/Oct/2023 21:07:15] DEBUG [django.utils.autoreload:394] File C:\Python311\Lib\site-packages\django\core\files\base.py first seen with mtime 1695833624.5626647
[27/Oct/2023 21:07:15] DEBUG [django.utils.autoreload:394] File C:\Python311\Lib\asyncio\windows_utils.py first seen with mtime 1692881950.0
[27/Oct/2023 21:07:15] DEBUG [django.utils.autoreload:394] File C:\Python311\Lib\site-packages\django\core\serializers\base.py first seen with mtime 1695833624.5929208
[27/Oct/2023 21:07:15] DEBUG [django.utils.autoreload:394] File C:\Python311\Lib\site-packages\django\contrib\auth\management\__init__.py first seen with mtime 1695833623.2915394
[27/Oct/2023 21:07:15] DEBUG [django.utils.autoreload:394] File C:\Python311\Lib\keyword.py first seen with mtime 1692881952.0
[27/Oct/2023 21:07:15] DEBUG [django.utils.autoreload:394] File C:\Python311\Lib\site-packages\django\forms\models.py first seen with mtime 1695833624.6632605
[27/Oct/2023 21:07:15] DEBUG [django.utils.autoreload:394] File C:\Python311\Lib\site-packages\django\core\checks\security\__init__.py first seen with mtime 1695833624.5597372
[27/Oct/2023 21:07:15] DEBUG [django.utils.autoreload:394] File C:\Python311\Lib\tokenize.py first seen with mtime 1692881952.0
[27/Oct/2023 21:07:15] DEBUG [django.utils.autoreload:394] File C:\Python311\Lib\site-packages\django\http\cookie.py first seen with mtime 1695833624.711054
[27/Oct/2023 21:07:15] DEBUG [django.utils.autoreload:394] File C:\Python311\Lib\site-packages\django\db\models\fields\__init__.py first seen with mtime 1695833624.6466007
[27/Oct/2023 21:07:15] DEBUG [django.utils.autoreload:394] File C:\Python311\Lib\ast.py first seen with mtime 1692881950.0
[27/Oct/2023 21:07:15] DEBUG [django.utils.autoreload:394] File C:\Python311\Lib\site-packages\django\db\models\fields\related_lookups.py first seen with mtime 1695833624.6505048
[27/Oct/2023 21:07:15] DEBUG [django.utils.autoreload:394] File C:\Python311\Lib\zoneinfo\__init__.py first seen with mtime 1692881952.0
[27/Oct/2023 21:07:15] DEBUG [django.utils.autoreload:394] File C:\Python311\Lib\site-packages\django\template\exceptions.py first seen with mtime 1695833624.7227895
[27/Oct/2023 21:07:15] DEBUG [django.utils.autoreload:394] File C:\Python311\Lib\site-packages\colorama\initialise.py first seen with mtime 1696329636.2407272
[27/Oct/2023 21:07:15] DEBUG [django.utils.autoreload:394] File C:\Python311\Lib\urllib\request.py first seen with mtime 1692881952.0
[27/Oct/2023 21:07:15] DEBUG [django.utils.autoreload:394] File C:\Python311\Lib\site-packages\django\core\checks\caches.py first seen with mtime 1695833624.555833
[27/Oct/2023 21:07:15] DEBUG [django.utils.autoreload:394] File C:\Python311\Lib\pathlib.py first seen with mtime 1692881952.0
[27/Oct/2023 21:07:15] DEBUG [django.utils.autoreload:394] File C:\Python311\Lib\site-packages\django\utils\timezone.py first seen with mtime 1695833624.7630723
[27/Oct/2023 21:07:15] DEBUG [django.utils.autoreload:394] File C:\Python311\Lib\site-packages\django\contrib\admin\views\autocomplete.py first seen with mtime 1695833622.9828246
[27/Oct/2023 21:07:15] DEBUG [django.utils.autoreload:394] File C:\Python311\Lib\site-packages\django\forms\renderers.py first seen with mtime 1695833624.6642356
[27/Oct/2023 21:07:15] DEBUG [django.utils.autoreload:394] File C:\Python311\DLLs\_queue.pyd first seen with mtime 1692881998.0
[27/Oct/2023 21:07:15] DEBUG [django.utils.autoreload:394] File C:\Python311\Lib\asyncio\selector_events.py first seen with mtime 1692881950.0
